LabNumber	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-24-1019	Gauteng	Tshwane MM	20.0	2024-05-21	COV-24-1019	Laudium	JN.1.X KP.3.X BA.2.86.X KP.1.X BA.5.X XBB.1.5.X BA.2.X XBB.X Delta Recombinants Other	[0.9985966099999999, 0.00056959, 0.00045904, 0.00014229, 2.1400000000000003e-06, 8.4e-07, 1.2999999999999998e-06, 1.4800000000000002e-06, 9.1e-07, 0.00023034, 1.06e-05]
COV-22-347	Free State	Mangaung MM	49.0	2022-12-06	COV-22-347	Bloemspruit Wastewater Treatment Works	BA.5.X BA.2.X BA.4.X Other Recombinants	[0.9998116899999998, 1.705e-05, 1.526e-05, 0.00011703, 3.898e-05]
COV-23-96	KwaZulu-Natal	Ethekwini MM	15.0	2023-04-11	COV-23-96	Central Wastewater Treatment Works (KZN)	XBB.1.5.X XBB.X Other Recombinants	[0.7906830699999999, 0.20904725, 0.00014856, 0.00012110999999999998]
COV-22-183	Gauteng	Tshwane MM	26.0	2022-06-28	COV-22-183	Daspoort Wastewater Treatment Works	BA.5.X BA.2.X XBB.1.5.X Delta Recombinants Other	[0.9982459900000005, 4.141e-05, 2.116e-05, 1.77e-05, 0.0013508600000000002, 0.0003229400000000001]
COV-22-289	Gauteng	Tshwane MM	41.0	2022-10-12	COV-22-289	Daspoort Wastewater Treatment Works	BA.5.X Recombinants Other	[0.9998952600000001, 4.464e-05, 6.0030000000000006e-05]
COV-22-177	Gauteng	Ekurhuleni MM	24.0	2022-06-14	COV-22-177	Hartebeesfontein Waterworks	BA.4.X BA.5.X BA.2.X Delta Other	[0.67222451, 0.32625496000000004, 0.0013893999999999998, 1.98e-05, 0.00011125999999999999]
COV-22-136	Eastern Cape	Buffalo City MM	16.0	2022-04-19	COV-22-136	Mdantsane Wastewater Treatment Works	BA.4.X BA.5.X Recombinants Other	[0.970477, 0.029218700000000004, 8.825e-05, 0.00021600000000000002]
COV-24-0708	North West	Ngaka Modiri Molema DM	15.0	2024-04-09	COV-24-0708	Mmabatho Water Treatment Works	JN.1.X LB.1.3.X XEC.X KP.1.X KP.3.X XBB.X BA.5.X BA.2.X Delta XBB.1.5.X Recombinants Other	[0.9599766699999983, 0.02917693, 0.00020325, 7.734e-05, 8.8e-06, 3.490000000000001e-06, 1.93e-06, 2.31e-06, 9.9e-07, 1.0700000000000001e-06, 0.01048238, 0.0001562]
COV-24-0756	Gauteng	Ekurhuleni MM	16.0	2024-04-18	COV-24-0756	Tembisa Hospital East and West	JN.1.X BA.2.86.X Delta BA.5.X XBB.1.5.X BA.2.X XBB.X BA.1.X Other	[0.99977757, 0.00022175, 5.9e-07, 7.799999999999999e-07, 3.5e-07, 5.2e-07, 5.7e-07, 2e-07, 4.44e-06]
COV-22-245	Gauteng	Tshwane MM	35.0	2022-08-31	COV-22-245	Rooiwal Wastewater Treatment Works	BA.5.X BA.4.X BA.2.X Recombinants Other	[0.6566671400000003, 0.10916688999999999, 0.00013012, 0.23370440999999997, 0.00033135]
COV-24-1042	Gauteng	Ekurhuleni MM	20.0	2024-05-23	COV-24-1042	Tembisa Hospital Downstream	JN.1.X LB.1.3.X XBB.1.5.X KP.3.X XBB.X BA.5.X BA.2.X Delta XEC.X Recombinants Other	[0.99951412, 0.00016404, 5.481e-05, 4.966e-05, 4.9819999999999994e-05, 1.23e-06, 7.000000000000001e-07, 2.5e-07, 2e-07, 0.00016869, 5.580000000000001e-06]
COV-24-0997	Gauteng	Tshwane MM	20.0	2024-05-17	COV-24-0997	Laudium	KP.1.X JN.1.X KP.3.X BA.2.X	[0.6853887, 0.31418050999999997, 0.00031363, 0.000117]
COV-23-0975	Free State	Mangaung MM	41.0	2023-10-10	COV-23-0975	Bloemspruit Wastewater Treatment Works	XBB.X BA.2.86.X XBB.1.5.X	[0.7626028300000001, 0.16317500000000001, 0.07422218]
COV-24-0988	North West	Rustenburg Local Municipality	20.0	2024-05-08	COV-24-0988	Rustenburg Wastewater Treatment Works	JN.1.X KP.1.X BA.2.86.X KP.3.X LB.1.3.X BA.5.X XBB.X Delta XBB.1.5.X Recombinants Other	[0.85329012, 0.14573987, 0.00040298, 0.0001794, 0.00016042, 1.62e-06, 1.11e-06, 3.2e-07, 1.1399999999999999e-06, 0.00022396000000000002, 7.78e-06]
COV-24-0961	Gauteng	Johannesburg MM	20.0	2024-05-15	COV-24-0961	Klipsruit Yard (Before tunnel)	JN.1.X	[0.9999999799999999]
COV-23-1093	Gauteng	Johannesburg MM	44.0	2023-11-01	COV-23-1093	Bushkoppies Final	BA.2.86.X XBB.1.5.X XBB.X BA.2.X JN.1.X Recombinants Other	[0.64548414, 0.22889593, 0.11863998, 0.005873939999999999, 5.896e-05, 0.00104687, 3.2e-07]
COV-22-43	Gauteng	Tshwane MM	6.0	2022-02-08	COV-22-43	Daspoort Wastewater Treatment Works	BA.2.X BA.1.X BA.4.X BA.5.X Recombinants Other	[0.76595941, 0.005997260000000001, 0.00012561, 4.547e-05, 0.22746517, 0.00040705]
COV-23-0895	Gauteng	Ekurhuleni MM	39.0	2023-09-28	COV-23-0895	Sasol Garage	XBB.X XBB.1.5.X BA.2.X BA.4.X BA.5.X BA.2.86.X Recombinants Other	[0.7090017900000001, 0.28966817999999994, 0.00048662, 0.0002164, 0.00026645, 6.693e-05, 0.00024307, 5.051e-05]
COV-22-16	Gauteng	Johannesburg MM	3.0	2022-01-17	COV-22-16	Goudkoppies Wastewater Treatment Works	BA.2.X BA.1.X BA.5.X XBB.1.5.X XBB.X Delta Recombinants Other	[0.56582222, 0.41193286999999995, 0.00013585, 4.437e-05, 1.858e-05, 7.52e-06, 0.021865120000000002, 0.00017365999999999996]
NIC-23-0400	Western Cape	Cape Town MM	15.0	2023-04-11	NIC-23-0400	Zandvleit Wastewater Treatment Works	BA.1.X XBB.1.5.X XBB.X Recombinants Other	[0.42991647000000005, 0.5667333899999997, 0.00040873, 0.0025503900000000005, 0.00039099]
NIC-22-0829	Free State	Mangaung MM	42.0	2022-10-18	NIC-22-0829	Bloemspruit Wastewater Treatment Works	BA.5.X Recombinants Other	[0.99981993, 5.813e-05, 0.00012194]
COV-21-230	Free State	Mangaung MM	43.0	2021-10-26	COV-21-230	Sterkwater Wastewater Treatment Works	Delta BA.5.X Recombinants Other	[0.5142029200000001, 2.087e-05, 0.00017089999999999998, 0.9712100599999999]
COV-24-0545	Gauteng	Tshwane MM	12.0	2024-03-19	COV-24-0545	Groenkloof	BA.2.86.X JN.1.X	[0.99963859, 0.00036141000000000005]
COV-24-0969	Limpopo	Vhembe DM	20.0	2024-05-13	COV-24-0969	Nancefield	JN.1.X BA.2.86.X LB.1.3.X BA.5.X XBB.1.5.X BA.1.X Other	[0.9992695800000003, 0.00060198, 0.00012776, 1.8699999999999999e-06, 6.8e-07, 2e-07, 2.1400000000000003e-06]
COV-24-0099	Gauteng	Ekurhuleni MM	4.0	2024-01-22	COV-24-0099	Olifantsfontein	BA.2.86.X JN.1.X	[0.8029694700000001, 0.19500854]
COV-24-1013	Gauteng	Johannesburg MM	21.0	2024-05-21	COV-24-1013	Northern Wastewater Treatment Works (GP)	JN.1.X BA.2.86.X LB.1.3.X KP.1.X BA.2.X XBB.X Recombinants Other	[0.48392457, 0.38245499, 0.03846882, 0.04652538, 7.204000000000001e-05, 3.6e-07, 0.04851071, 8.682e-05]
COV-23-1075	Western Cape	Cape Town MM	43.0	2023-10-26	COV-23-1075	Borcherds Quarry Wastewater Treatment Works	BA.2.86.X XBB.X XBB.1.5.X JN.1.X KP.3.X Recombinants Other	[0.87974412, 0.06719665000000001, 0.052053869999999995, 0.00023926, 2.4e-07, 0.0005678300000000001, 0.00019796]
NIC-22-0626	Gauteng	Tshwane MM	31.0	2022-08-03	NIC-22-0626	Daspoort Wastewater Treatment Works	BA.5.X BA.2.X JN.1.X XBB.X KP.3.X KP.1.X XBB.1.5.X Recombinants Other	[1.0000002499999998, 1.35e-06, 8.8e-07, 1.19e-06, 3.1e-07, 2.7e-07, 7.7e-07, 2.1e-07, 1.064e-05]
COV-23-1331	Gauteng	Johannesburg MM	50.0	2023-12-13	COV-23-1331	Bushkoppies Final	BA.2.86.X BA.2.X	[0.84682971, 0.15099905]
COV-23-0974	Eastern Cape	Buffalo City MM	41.0	2023-10-10	COV-23-0974	Mdantsane Wastewater Treatment Works	XBB.X BA.2.X JN.1.X BA.5.X Delta XBB.1.5.X BA.2.86.X Recombinants Other	[0.9985936299999998, 0.0014086900000000002, 2.7600000000000003e-06, 2.21e-06, 3.6e-07, 3.3e-07, 2.2e-07, 2.52e-06, 6.720000000000001e-06]
COV-24-0799	Gauteng	Johannesburg MM	17.0	2024-04-24	COV-24-0799	Goudkoppies Wastewater Treatment Works	JN.1.X BA.2.86.X KP.1.X LB.1.3.X BA.2.X XBB.X Recombinants Other	[0.66376945, 0.33517992999999996, 0.00040507, 0.00010464, 0.00010936999999999999, 1.267e-05, 0.00033275000000000004, 8.601999999999999e-05]
COV-23-0697	Gauteng	Ekurhuleni MM	34.0	2023-08-21	COV-23-0697	Tembisa Mall	BA.2.86.X	[0.99860395]
COV-24-0631	Gauteng	Ekurhuleni MM	14.0	2024-04-02	COV-24-0631	Hartebeesfontein Waterworks	JN.1.X BA.2.86.X BA.2.X XBB.X BA.5.X XBB.1.5.X Other	[0.8262202099999997, 0.17377671999999997, 1.85e-06, 1.8299999999999998e-06, 1.3299999999999998e-06, 4.6e-07, 1.666e-05]
COV-24-0786	Gauteng	Tshwane MM	17.0	2024-04-23	COV-24-0786	Kalafong Hospital	JN.1.X BA.2.86.X KP.1.X KP.3.X BA.2.X LB.1.3.X XBB.X BA.5.X Delta Other	[0.95279594, 0.04641499, 0.0004945799999999999, 0.00011988, 6.016e-05, 3.641e-05, 5.399999999999999e-07, 5.1e-07, 2e-07, 0.00015506]
COV-23-536	Gauteng	Johannesburg MM	29.0	2023-07-19	COV-23-536	Bushkoppies Final	XBB.1.5.X XBB.X Recombinants Other	[0.9991438599999999, 0.00069719, 5.285e-05, 0.00021228000000000002]
COV-24-0410	Gauteng	Tshwane MM	9.0	2024-03-01	COV-24-0410	Daspoort Wastewater Treatment Works	JN.1.X BA.2.86.X BA.5.X XBB.X XBB.1.5.X BA.2.X Delta Recombinants Other	[0.92614942, 0.07351142, 2.6799999999999998e-06, 2.48e-06, 2.18e-06, 4.9e-07, 3.3e-07, 0.00033632, 1.684e-05]
COV-24-0572	Gauteng	Ekurhuleni MM	13.0	2024-03-25	COV-24-0572	Midstream	JN.1.X BA.2.86.X BA.5.X Delta BA.1.X XBB.1.5.X KP.3.X BA.2.X BA.4.X XBB.X Other	[0.9570964700000003, 0.04290081, 4.51e-06, 1.06e-06, 6.5e-07, 1.8399999999999997e-06, 8.8e-07, 1.15e-06, 2.1e-07, 5.3e-07, 1.51e-05]
COV-23-1115	Gauteng	Ekurhuleni MM	45.0	2023-11-06	COV-23-1115	Olifantsfontein	BA.2.86.X XBB.X BA.2.X XBB.1.5.X BA.5.X JN.1.X Recombinants Other	[0.63576111, 0.17887799999999998, 0.11814894000000002, 0.06530799000000002, 0.00078358, 0.00024954, 0.00065066, 0.00022009999999999998]
COV-22-8	KwaZulu-Natal	Ethekwini MM	2.0	2022-01-10	COV-22-8	Central Wastewater Treatment Works (KZN)	BA.1.X BA.5.X Delta BA.2.X XBB.1.5.X XBB.X Other Recombinants	[0.13017521, 0.0005883, 0.00010489000000000001, 4.092e-05, 3.969e-05, 2.68e-06, 0.8055295700000005, 0.06351810000000001]
COV-24-0611	Gauteng	Ekurhuleni MM	13.0	2024-03-28	COV-24-0611	Midstream	BA.2.86.X JN.1.X LB.1.3.X XBB.1.5.X BA.5.X XBB.X BA.2.X Recombinants Other	[0.6684202, 0.33151442000000003, 3.771e-05, 1.43e-06, 1.53e-06, 9.600000000000001e-07, 4.9e-07, 2.6309999999999997e-05, 5.019999999999999e-06]
COV-24-0820	North West	Ngaka Modiri Molema DM	17.0	2024-04-23	COV-24-0820	Mahikeng Water Treatment Works	BA.2.86.X JN.1.X LB.1.3.X Delta XBB.X Other Recombinants	[0.44825994, 0.5513137199999996, 6.712e-05, 3.205e-05, 2.885e-05, 0.00010396, 0.00019431000000000003]
COV-23-568	Gauteng	Ekurhuleni MM	30.0	2023-07-25	COV-23-568	Hartebeesfontein Waterworks	XBB.X XBB.1.5.X BA.2.X BA.5.X Other Recombinants	[0.5518442600000002, 0.44785799000000004, 8.076e-05, 2.86e-05, 0.00014101, 4.737e-05]
COV-22-353	Free State	Mangaung MM	50.0	2022-12-13	COV-22-353	Bloemspruit Wastewater Treatment Works	BA.5.X JN.1.X XBB.X Recombinants Other	[0.9999075299999999, 4.9e-07, 2.2e-07, 4.3e-07, 0.0001888]
COV-23-516	Gauteng	Ekurhuleni MM	29.0	2023-07-17	COV-23-516	Midstream	XBB.1.5.X XBB.X BA.2.X Other	[0.9997850299999997, 9.384e-05, 3.21e-05, 8.901e-05]
COV-24-0062	KwaZulu-Natal	Ethekwini MM	3.0	2024-01-15	COV-24-0062	Central Wastewater Treatment Works (KZN)	BA.2.86.X	[1.0]
COV-23-1012	Gauteng	Johannesburg MM	42.0	2023-10-18	COV-23-1012	Klipsruit Yard (Before tunnel)	XBB.1.5.X BA.2.86.X XBB.X JN.1.X BA.2.X BA.5.X BA.1.X Delta Other	[0.36125663, 0.5296907, 0.10905554999999999, 1.39e-06, 8.2e-07, 1.0299999999999999e-06, 2e-07, 2.4e-07, 2.9600000000000005e-06]
COV-23-0885	Free State	Mangaung MM	39.0	2023-09-26	COV-23-0885	Bloemspruit Wastewater Treatment Works	XBB.X BA.2.86.X XBB.1.5.X BA.2.X JN.1.X Other Recombinants	[0.73522392, 0.20235440000000002, 0.05911331, 0.00274756, 0.00015906, 0.00018909, 0.00021276999999999998]
COV-24-0891	Gauteng	Tshwane MM	19.0	2024-05-07	COV-24-0891	Daspoort Wastewater Treatment Works	BA.2.86.X KP.1.X JN.1.X BA.4.X BA.2.X Recombinants Other	[0.29764493000000003, 0.10531065, 0.5962298300000001, 7.714e-05, 9.44e-05, 0.00051152, 0.00026234]
COV-22-9	KwaZulu-Natal	Ethekwini MM	2.0	2022-01-10	COV-22-9	Northern Wastewater Treatment Works (KZN)	BA.1.X BA.2.X BA.5.X XBB.1.5.X Recombinants Other	[0.30719815, 0.02119774, 0.00023053999999999997, 2.78e-05, 0.44521087, 0.22613490999999997]
COV-23-0779	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0779	Goudkoppies Wastewater Treatment Works	XBB.1.5.X XBB.X BA.2.86.X BA.2.X BA.5.X Recombinants Other	[0.32205090000000003, 0.2890971, 0.29579099999999997, 0.06169650999999999, 0.00050787, 0.02888262, 0.001974]
COV-22-295	Gauteng	Tshwane MM	42.0	2022-10-19	COV-22-295	Rooiwal Wastewater Treatment Works	BA.5.X BA.4.X BA.2.X XBB.1.5.X XBB.X Recombinants Other	[0.7298345199999998, 0.01020327, 0.00024496, 6.17e-05, 8.985e-05, 0.2593826699999999, 0.00018298999999999998]
COV-23-0784	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0784	Bushkoppies Inlet	XBB.1.5.X BA.2.86.X XBB.X BA.2.X BA.5.X BA.2.12.X Recombinants Other	[0.50794151, 0.23643348, 0.21162848, 0.006433919999999999, 0.000739, 0.0001141, 0.036556479999999995, 0.00015299999999999998]
COV-22-94	Gauteng	Ekurhuleni MM	12.0	2022-03-22	COV-22-94	Hartebeesfontein Waterworks	BA.4.X BA.2.X	[0.66666694, 0.33264799]
NIC-22-0133	Gauteng	Johannesburg MM	12.0	2022-03-22	NIC-22-0133	Goudkoppies Wastewater Treatment Works	BA.2.X Delta BA.4.X Recombinants Other	[0.84881852, 0.00018001, 0.00011479, 0.14662867, 0.00425801]
NIC-22-007	Western Cape	Cape Town MM	2.0	2022-01-10	NIC-22-007	Zandvleit Wastewater Treatment Works	BA.1.X Delta Other Recombinants	[0.9998138700000002, 3.075e-05, 0.00015340999999999998, 1.95e-06]
COV-24-0800	Mpumalanga	Ehlanzeni DM	17.0	2024-04-22	COV-24-0800	Kingstonvale	JN.1.X BA.2.86.X LB.1.3.X KP.1.X XBB.X Recombinants Other	[0.9994013799999998, 0.00041093, 7.598e-05, 1.699e-05, 2.3e-07, 9.381e-05, 1.6e-06]
COV-23-1040	Gauteng	Tshwane MM	43.0	2023-10-24	COV-23-1040	Daspoort Wastewater Treatment Works	XBB.X BA.2.86.X BA.2.X XBB.1.5.X Recombinants	[0.5289113599999999, 0.199275, 0.12478197, 0.06747549000000001, 0.07955603]
COV-23-632	Gauteng	Tshwane MM	32.0	2023-08-08	COV-23-632	Vergenoeg	XBB.1.5.X XBB.X BA.1.X BA.2.X Recombinants Other	[0.9941646299999994, 0.004861900000000001, 0.00019898999999999996, 3.61e-05, 0.00064602, 9.205e-05]
COV-22-221	Gauteng	Tshwane MM	32.0	2022-08-10	COV-22-221	Rooiwal Wastewater Treatment Works	BA.5.X Recombinants Other	[0.9999522600000001, 4.7470000000000005e-05, 1.44e-06]
COV-22-117	Eastern Cape	Buffalo City MM	14.0	2022-04-05	COV-22-117	Mdantsane Wastewater Treatment Works	BA.2.X BA.4.X BA.5.X KP.1.X XBB.1.5.X Recombinants Other	[0.99973192, 0.00011403, 0.00012318, 3.4e-07, 3.4e-07, 3.07e-05, 2e-06]
COV-23-187	Gauteng	Ekurhuleni MM	20.0	2023-05-15	COV-23-187	Tembisa Hospital Downstream	XBB.1.5.X XBB.X Other Recombinants	[0.6285616900000002, 0.37114046999999994, 0.00022401, 7.376e-05]
COV-24-0304	Gauteng	Tshwane MM	7.0	2024-02-16	COV-24-0304	Daspoort Wastewater Treatment Works	JN.1.X BA.2.86.X LB.1.3.X Recombinants Other	[0.9987082800000006, 0.00028154, 0.00013736, 0.0008718399999999999, 8.2e-07]
COV-22-265	Gauteng	Ekurhuleni MM	38.0	2022-09-20	COV-22-265	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X XBB.1.5.X BA.2.X Recombinants Other	[0.99955288, 9.745e-05, 0.00011030999999999999, 0.00014839, 9.104e-05]
COV-22-144	Gauteng	Tshwane MM	18.0	2022-05-03	COV-22-144	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Delta Other Recombinants	[0.9284574400000001, 0.06781084000000001, 0.0017103500000000002, 4.2000000000000004e-05, 0.00127185, 0.00070714]
NIC-23-0469	Gauteng	Tshwane MM	18.0	2023-05-03	NIC-23-0469	Daspoort Wastewater Treatment Works	XBB.X XBB.1.5.X Recombinants	[0.74762763, 0.19940923, 0.0429336]
COV-23-0718	Gauteng	Ekurhuleni MM	34.0	2023-08-24	COV-23-0718	Midstream	XBB.1.5.X	[1.0]
COV-24-0731	Gauteng	Tshwane MM	16.0	2024-04-16	COV-24-0731	Groenkloof	JN.1.X BA.2.86.X XBB.1.5.X XBB.X BA.5.X KP.3.X Delta BA.2.X Recombinants Other	[0.9995789299999999, 0.00029567, 1.9e-06, 2.91e-06, 1.14e-06, 5.8e-07, 6.4e-07, 8.4e-07, 0.00012334, 1.3899999999999999e-05]
COV-23-0873	Gauteng	Tshwane MM	39.0	2023-09-26	COV-23-0873	SAPS Training College	BA.2.86.X XBB.X BA.2.X XBB.1.5.X BA.5.X KP.3.X JN.1.X LP.8.1.X BA.1.X KP.1.X Delta Recombinants Other	[0.64805827, 0.26763167999999976, 0.08300934999999998, 0.00033588999999999993, 5.249999999999997e-06, 8e-07, 1.2e-06, 3.2e-07, 6.1e-07, 9e-07, 7.7e-07, 0.0009886500000000002, 2.459999999999999e-05]
COV-23-1097	Gauteng	Tshwane MM	44.0	2023-11-01	COV-23-1097	Rooiwal Wastewater Treatment Works	BA.2.86.X XBB.1.5.X BA.2.X XBB.X BA.4.X BA.5.X Recombinants Other	[0.43834799999999996, 0.4327426500000001, 0.10515342, 0.02311507, 0.00012597999999999998, 3.552e-05, 0.00025738, 0.00022202]
COV-23-0726	Gauteng	Tshwane MM	34.0	2023-08-25	COV-23-0726	Atteridgeville Train Station	XBB.1.5.X XBB.X BA.5.X JN.1.X BA.2.X KP.1.X Delta KP.3.X Recombinants Other	[0.9996884499999998, 0.00013631999999999997, 6.890000000000001e-05, 2.79e-06, 8.5e-07, 4.3e-07, 2.5e-07, 2.6e-07, 4.919e-05, 0.00012758000000000002]
COV-23-1025	Gauteng	Ekurhuleni MM	42.0	2023-10-19	COV-23-1025	Moloreng	BA.2.86.X XBB.X XBB.1.5.X BA.2.X BA.2.12.X Recombinants Other	[0.6595329500000001, 0.1635694, 0.06515655000000001, 0.06556528000000002, 0.0143737, 0.03180208, 6.800000000000001e-07]
COV-23-367	Gauteng	Johannesburg MM	24.0	2023-06-14	COV-23-367	Bushkoppies Final	XBB.1.5.X JN.1.X KP.1.X XBB.X BA.2.X LB.1.3.X BA.5.X Other	[0.9999992999999999, 8.3e-07, 4.5e-07, 7.9e-07, 3.6e-07, 2.5e-07, 4.1e-07, 9.08e-06]
NIC-23-0931	Gauteng	Ekurhuleni MM	34.0	2023-08-22	NIC-23-0931	ERWAT Vlakplaat Wastewater Treatment Works	XBB.X XBB.1.5.X BA.2.86.X BA.2.X BA.5.X Delta Recombinants Other	[0.6429105899999998, 0.22500001, 0.0560355, 0.0005949, 0.00037188, 0.00033322, 0.05506611, 0.01968781]
COV-24-0612	Gauteng	Ekurhuleni MM	13.0	2024-03-28	COV-24-0612	Olifantsfontein	BA.2.86.X JN.1.X LB.1.3.X XBB.X BA.5.X KP.3.X BA.2.X Recombinants Other	[0.53846149, 0.46118608, 0.00013058, 6.8e-07, 7.100000000000001e-07, 2e-07, 2.9e-07, 0.00022025999999999998, 2.8e-06]
COV-23-0731	Gauteng	Ekurhuleni MM	35.0	2023-08-28	COV-23-0731	Tembisa Mall	XBB.X BA.2.86.X XBB.1.5.X BA.2.X Recombinants	[0.53286654, 0.37072192000000004, 0.09580848, 0.00038700000000000003, 0.00021607]
COV-23-689	Gauteng	Tshwane MM	33.0	2023-08-18	COV-23-689	Kalafong Hospital	XBB.1.5.X JN.1.X BA.5.X XBB.X BA.2.X Delta KP.3.X XEC.X KP.1.X Recombinants Other	[1.0000014, 3.04e-06, 4.38e-06, 2.66e-06, 2.24e-06, 9.300000000000001e-07, 1.01e-06, 2.9e-07, 3.5000000000000004e-07, 1.7e-06, 1.3419999999999999e-05]
COV-24-0736	Gauteng	Johannesburg MM	16.0	2024-04-17	COV-24-0736	Motsoaledi	JN.1.X KP.1.X KP.3.X BA.2.86.X BA.5.X XBB.1.5.X XBB.X BA.2.X Recombinants Other	[0.9992057999999999, 0.00042904000000000005, 0.00017591, 0.00010484, 2.91e-06, 5.3e-07, 1.61e-06, 2e-07, 8.234e-05, 6.660000000000001e-06]
NIC-23-0281	Eastern Cape	Nelson Mandela Bay MM	10.0	2023-03-06	NIC-23-0281	Kwanobuhle Wastewater Treatment Works	XBB.1.5.X XBB.X BA.5.X Recombinants Other	[0.99841063, 0.0008368400000000002, 6.169e-05, 0.00039482000000000005, 0.000296]
COV-24-0649	Gauteng	Tshwane MM	14.0	2024-04-03	COV-24-0649	Rooiwal Wastewater Treatment Works	JN.1.X BA.2.86.X Other	[0.78042094, 0.21957895, 3.4e-07]
COV-24-0970	Free State	Mangaung MM	20.0	2024-05-14	COV-24-0970	Bloemspruit Wastewater Treatment Works	JN.1.X BA.2.86.X KP.3.X KP.1.X XBB.1.5.X BA.5.X XBB.X Recombinants Other	[0.55679028, 0.4001225500000001, 0.042909319999999994, 4.225e-05, 3e-07, 2.4e-07, 5.7e-07, 0.00013403, 2.96e-06]
COV-23-0741	Gauteng	Tshwane MM	35.0	2023-08-29	COV-23-0741	Laudium	XBB.X BA.2.86.X XBB.1.5.X BA.2.X BA.5.X Other Recombinants	[0.99456741, 0.00232229, 0.0020949899999999997, 0.00052469, 9.496e-05, 0.00020208, 0.00019369]
COV-23-0743	Gauteng	Johannesburg MM	35.0	2023-08-30	COV-23-0743	Chris Hani Baragwanath Hospital	BA.2.86.X XBB.X XBB.1.5.X BA.2.X BA.4.X BA.5.X Recombinants Other	[0.43933376, 0.21198557, 0.30552769999999996, 0.04216876, 0.00098408, 3e-07, 2.6e-07, 2.6e-07]
NIC-22-0645	Eastern Cape	Nelson Mandela Bay MM	32.0	2022-08-10	NIC-22-0645	Brickfield Pre-treatment Works	BA.5.X BA.2.X Other Recombinants	[0.9997175199999999, 6.195e-05, 0.000196, 2.455e-05]
COV-24-0831	Gauteng	Ekurhuleni MM	18.0	2024-04-29	COV-24-0831	Midstream	JN.1.X BA.2.86.X KP.1.X KP.3.X LB.1.3.X Other Recombinants	[0.44091303999999987, 0.5585574600000001, 0.00017781, 0.00015433, 3.58e-06, 0.00013711, 5.654e-05]
COV-23-0971	Gauteng	Johannesburg MM	41.0	2023-10-11	COV-23-0971	Bushkoppies Final	BA.2.86.X XBB.1.5.X XBB.X BA.2.X BA.4.X LB.1.3.X BA.5.X JN.1.X Other	[0.5221783000000001, 0.15621395999999999, 0.27181081, 0.04841323000000001, 0.00022326, 0.00019754, 0.00030751, 0.00027616, 0.0003792]
NIC-22-0670	Gauteng	Ekurhuleni MM	34.0	2022-08-23	NIC-22-0670	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X BA.4.X Recombinants Other	[0.83327298, 0.16644565, 0.00012752, 0.00015384]
COV-23-660	Gauteng	Tshwane MM	33.0	2023-08-15	COV-23-660	Daspoort Wastewater Treatment Works	XBB.X XBB.1.5.X BA.2.86.X BA.2.X	[0.36408239, 0.3648135, 0.26691704, 0.00418702]
COV-23-585	Gauteng	Tshwane MM	30.0	2023-07-28	COV-23-585	Atteridgeville Train Station	XBB.1.5.X XBB.X	[0.62345691, 0.37561226]
COV-23-0786	Free State	Mangaung MM	36.0	2023-09-05	COV-23-0786	Sterkwater Wastewater Treatment Works	XBB.X XBB.1.5.X	[0.6, 0.3999999800000001]
NIC-22-0755	Free State	Mangaung MM	38.0	2022-09-20	NIC-22-0755	Sterkwater Wastewater Treatment Works	BA.5.X BA.4.X Recombinants Other	[0.9998610799999998, 2.734e-05, 6.5e-05, 4.648e-05]
COV-22-165	Gauteng	Tshwane MM	20.0	2022-05-17	COV-22-165	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X BA.2.12.X JN.1.X XBB.X XBB.1.5.X Recombinants Other	[0.9425192600000001, 0.056690480000000036, 0.00038261999999999997, 4.343e-05, 1.822e-05, 1.81e-05, 6.55e-06, 0.00020903000000000002, 0.00011245000000000001]
COV-23-138	Free State	Mangaung MM	18.0	2023-05-03	COV-23-138	Bloemspruit Wastewater Treatment Works	XBB.1.5.X XBB.X Other Recombinants	[0.6433029899999999, 0.3562500200000001, 0.00028104, 0.00016597]
COV-24-0278	North West	Ngaka Modiri Molema DM	6.0	2024-02-06	COV-24-0278	Mahikeng Water Treatment Works	BA.2.86.X	[0.99939035]
COV-23-126	Free State	Mangaung MM	17.0	2023-04-26	COV-23-126	Bloemspruit Wastewater Treatment Works	XBB.1.5.X XBB.X Other Recombinants	[0.9097979499999999, 0.08978697000000002, 0.00032552, 8.953e-05]
COV-23-0918	Gauteng	Johannesburg MM	40.0	2023-10-04	COV-23-0918	Bushkoppies Inlet	BA.2.86.X BA.2.X XBB.1.5.X XBB.X BA.5.X BA.4.X JN.1.X Recombinants Other	[0.62075507, 0.08256926, 0.10493071999999999, 0.15669486, 0.00026448000000000004, 9.423e-05, 5.2e-07, 0.03468973, 2.3e-06]
COV-22-340	Gauteng	Ekurhuleni MM	48.0	2022-11-29	COV-22-340	Hartebeesfontein Waterworks	BA.5.X Other Recombinants	[0.9999388800000001, 4.703e-05, 1.407e-05]
